PLAYER,TEAM,Conf.,AS Prob.,Model Prediction
Giannis Antetokounmpo,MIL,East,0.9999931,Yes
Khris Middleton,MIL,East,0.99982834,Yes
Jimmy Butler,MIA,East,0.9989141,Yes
Kyle Lowry,TOR,East,0.9930761,Yes
Ben Simmons,PHI,East,0.99298346,Yes
Trae Young,ATL,East,0.99136037,Yes
Jayson Tatum,BOS,East,0.98990214,Yes
Kemba Walker,BOS,East,0.98455125,Yes
Zach LaVine,CHI,East,0.9144512,Yes
Domantas Sabonis,IND,East,0.8852393,Yes
Pascal Siakam,TOR,East,0.8483981,Yes
Joel Embiid,PHI,East,0.84473425,Yes
Jaylen Brown,BOS,East,0.8239824,No
Bam Adebayo,MIA,East,0.81700224,No
Kyrie Irving,BKN,East,0.5489499,No
Bradley Beal,WAS,East,0.40497002,No
Fred VanVleet,TOR,East,0.10016033,No
Kevin Love,CLE,East,0.065843895,No
Andre Drummond,CLE,East,0.04281123,No
Julius Randle,NYK,East,0.034056585,No
Spencer Dinwiddie,BKN,East,0.0271236,No
Al Horford,PHI,East,0.014877647,No
Nikola Vucevic,ORL,East,0.009930909,No
Goran Dragic,MIA,East,0.0054043466,No
Derrick Rose,DET,East,0.004605572,No
Anthony Davis,LAL,West,0.999997,Yes
LeBron James,LAL,West,0.9999919,Yes
James Harden,HOU,West,0.9999763,Yes
Kawhi Leonard,LAC,West,0.999948,Yes
Russell Westbrook,HOU,West,0.999907,Yes
Luka Doncic,DAL,West,0.9997476,Yes
Nikola Jokic,DEN,West,0.9997187,Yes
Donovan Mitchell,UTA,West,0.99854714,Yes
Damian Lillard,POR,West,0.9963898,Yes
Paul George,LAC,West,0.9752661,Yes
Bojan Bogdanovic,UTA,West,0.9456203,Yes
Rudy Gobert,UTA,West,0.94246495,Yes
Brandon Ingram,NOP,West,0.91000843,No
Montrezl Harrell,LAC,West,0.89782345,No
Devin Booker,PHX,West,0.8622349,No
Karl-Anthony Towns,MIN,West,0.82176024,No
Lou Williams,LAC,West,0.45936492,No
LaMarcus Aldridge,SAS,West,0.29175624,No
DeMar DeRozan,SAS,West,0.16750762,No
Jamal Murray,DEN,West,0.10791928,No
Hassan Whiteside,POR,West,0.035188586,No
Chris Paul,OKC,West,0.030499058,No
Dennis Schroder,OKC,West,0.02095196,No
Shai Gilgeous-Alexander,OKC,West,0.0065242117,No
Jonas Valanciunas,MEM,West,0.0035674025,No
